Locus,Mean_Length,Num_Inds,Num_Groups,40i_loci.txt,62i_loci.txt,98i_loci.txt,g2_loci.txt,g4_loci.txt,g7_loci.txt,Calandrinia,Calandrinia1,Calandrinia2,Calandrinia3,Calandrinia4,Calandrinia5,Calandrinia6,Molluginaceae,Monteae,Montiaceae,NWCalandrinia,Outgroup,Phemeranthus,Portulacineae
nGroup_16157_1_2_1_2,152.33,3,3,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no
nGroup_16157_1_2_2_1_1,392.00,7,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_16157_1_2_2_2,363.71,7,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_16157_1_2_2_3_1_1,587.00,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_16157_1_2_2_3_1_1_2,254.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_16157_1_2_2_3_1_2,392.75,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_16157_1_2_2_3_2,227.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_16157_1_2_2_5_1,257.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_16157_1_2_2_5_2,266.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_16157_2,282.00,93,13,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
nGroup_16157_5,238.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
nGroup_16219_1,734.61,110,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_16219_2,325.50,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_16321_1,385.00,36,6,no,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no
nGroup_16321_1_2,556.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_16321_1_4,174.00,2,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_16321_2,529.62,94,13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes
nGroup_16321_5,271.80,5,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_1706_1,761.28,105,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_1706_1_1,1127.25,4,2,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no
nGroup_1706_1_2_1_1,573.42,45,9,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no
nGroup_1706_1_2_1_1_2,830.20,5,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_1706_1_2_1_1_4,733.75,4,2,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
nGroup_1706_1_2_1_1_5_2,769.50,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_1706_1_2_1_1_6,615.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_1706_1_2_1_1_8,585.00,2,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_1706_1_2_1_2,632.25,67,10,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no
nGroup_1706_1_2_1_2_2,376.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_1706_1_2_1_2_3_2,754.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_1706_1_2_1_2_4,921.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_1706_1_2_1_2_6,388.33,3,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_1706_1_2_2_2,670.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_1706_1_2_2_4,208.00,1,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_1706_1_2_2_5,512.14,7,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_1706_1_2_2_5_2,374.50,2,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
nGroup_1706_1_4,1221.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
nGroup_17974_1,979.78,9,5,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no,yes
nGroup_17974_2,2170.60,99,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_17974_4,2098.50,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
nGroup_18355_1,2079.40,5,3,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
nGroup_18355_2,2906.86,103,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_18355_4,2081.00,4,2,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no
nGroup_18355_6,2818.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_18627_1_1,320.60,25,9,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes
nGroup_18627_1_2,557.74,89,12,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
nGroup_18627_1_2_1_1,740.89,9,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
nGroup_18627_1_2_1_1_2,477.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_18627_1_2_1_2,550.05,78,11,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no
nGroup_18627_1_2_1_2_1,578.05,55,9,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no
nGroup_18627_1_2_1_2_1_1_1,567.17,6,5,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no
nGroup_18627_1_2_1_2_1_1_2,537.15,13,4,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no
nGroup_18627_1_2_1_2_1_2_1_1,817.83,6,3,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no
nGroup_18627_1_2_1_2_1_2_1_2,602.46,13,4,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no
nGroup_18627_1_2_1_2_1_2_2_1_2,824.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_18627_1_2_1_2_1_2_2_2,437.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_18627_1_2_1_2_1_2_2_3,481.67,3,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_18627_1_2_1_2_1_2_2_3_2,354.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_18627_1_2_1_2_2_2,654.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_18627_1_2_1_2_2_4,465.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_18627_1_2_1_2_2_5,551.20,5,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_18627_1_2_1_2_2_8,342.00,1,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_18627_1_2_2_1,339.50,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_18627_2,662.63,105,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_18627_4,630.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_18627_6,635.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_18627_9,449.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_18875_1_1,677.50,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes
nGroup_18875_1_2,413.09,65,12,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
nGroup_18875_1_2_1_1_1,314.00,3,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
nGroup_18875_1_2_1_1_2,408.60,20,6,no,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,no
nGroup_18875_1_2_1_1_2_1,459.90,10,3,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no
nGroup_18875_1_2_1_1_2_1_1_2,805.57,7,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_18875_1_2_1_1_2_1_2,499.67,6,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_18875_1_2_1_1_2_2_1_2,729.25,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_18875_1_2_1_1_2_2_2,193.40,5,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_18875_1_2_1_2,414.37,38,10,no,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no
nGroup_18875_1_2_1_2_1_1_1,388.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_18875_1_2_1_2_1_1_2,358.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_18875_1_2_1_2_2,434.75,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_18875_1_2_1_2_3,394.50,2,2,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
nGroup_18875_1_2_2_2,420.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_18875_1_2_4,191.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
nGroup_18875_2,428.72,97,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_18875_4,231.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
nGroup_18875_5,268.00,4,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_18875_8,193.00,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_18890_1_1_1,558.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_18890_1_1_2,1205.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_18890_1_2,916.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_18890_2,978.11,108,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_18890_3,225.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_19153_1_1_1,440.60,5,4,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes
nGroup_19153_1_1_2,915.11,9,4,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes
nGroup_19153_1_1_2_2,1604.75,4,2,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no
nGroup_19153_1_2,573.15,93,13,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
nGroup_19153_1_2_1_1_1,184.00,5,3,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no
nGroup_19153_1_2_1_1_2,642.30,10,3,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no
nGroup_19153_1_2_1_1_2_1,1375.83,6,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_19153_1_2_1_1_2_2_1_1_2,854.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_19153_1_2_1_1_2_2_1_2,966.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_19153_1_2_1_1_2_2_2,1250.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_19153_1_2_1_2,764.60,25,7,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,no
nGroup_19153_1_2_1_2_2,506.83,6,4,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no
nGroup_19153_1_2_2_1_1,1075.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_19153_1_2_2_1_2,468.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_19153_1_2_2_4,385.80,5,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_19153_1_2_2_5,300.00,4,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_19153_2,504.60,99,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_19342_1_1,2254.00,3,2,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no
nGroup_19342_1_2_1,2144.75,4,3,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes
nGroup_19342_1_2_2,3427.91,103,13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes
nGroup_19342_1_2_2_1_1,266.50,6,3,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no
nGroup_19342_1_2_2_1_2_1,2070.00,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
nGroup_19342_1_2_2_1_2_2,1937.50,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_19417_1,961.60,5,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes
nGroup_19417_11,672.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_19417_14,720.75,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_19417_15,1048.67,3,2,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
nGroup_19417_1_2,756.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
nGroup_19417_2,1019.26,86,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_19417_5,894.00,3,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
nGroup_19417_6,979.00,5,2,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no
nGroup_19417_7,752.94,31,10,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no
nGroup_19417_9,696.50,18,4,no,no,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no
nGroup_19448_1,535.24,98,13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
nGroup_19448_1_1_1_1,746.50,4,3,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
nGroup_19448_1_1_1_2,515.80,90,12,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
nGroup_19448_1_1_1_2_1_1,825.43,21,5,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no
nGroup_19448_1_1_1_2_1_1_2,695.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_19448_1_1_1_2_1_1_3,1003.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_19448_1_1_1_2_1_2,499.88,74,10,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no
nGroup_19448_1_1_1_2_1_2_1_1,893.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_19448_1_1_1_2_1_2_1_2,472.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_19448_1_1_1_2_1_2_3,413.67,6,2,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
nGroup_19448_1_1_1_2_1_2_5,442.00,3,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_19448_1_1_1_2_1_2_8,399.35,26,2,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_19448_1_1_1_2_2_1,515.25,4,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_19448_1_1_1_2_2_1_1_1_1_2,1115.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_19448_1_1_1_2_2_1_1_1_2_1,246.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_19448_1_1_1_2_2_1_1_1_2_2,342.50,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_19448_1_1_1_2_2_1_1_2,345.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_19448_1_1_1_2_2_1_2,306.50,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_19448_1_1_1_2_2_2_1_2,1114.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_19448_1_1_1_2_2_2_2,988.20,5,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_19448_1_1_2,518.09,94,12,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
nGroup_19448_1_2_2,510.50,2,2,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
nGroup_19448_1_2_4,332.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_20351_1,342.34,83,13,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
nGroup_20351_1_1,227.50,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
nGroup_20351_1_2_1_1_1_1,240.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_20351_1_2_1_1_1_2,406.67,6,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_20351_1_2_1_1_1_2_1_1_1,358.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_20351_1_2_1_1_1_2_1_1_2,379.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_20351_1_2_1_1_1_2_2,224.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_20351_1_2_1_1_2,317.43,7,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_20351_1_2_2,322.25,8,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_20351_1_2_3,663.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_20351_1_2_5,285.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_20351_2,446.29,109,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_20351_4,337.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_20409_1,1525.40,93,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_20409_1_2,1640.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_20409_1_3,251.50,4,2,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no
nGroup_20409_1_4_2,1404.57,7,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no
nGroup_20409_1_4_3,898.00,3,2,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
nGroup_20409_2,1760.00,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
nGroup_22334_1,1137.06,96,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_22334_1_1,1190.43,77,13,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
nGroup_22334_1_1_1,3236.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
nGroup_22334_1_1_2_1,262.50,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no
nGroup_22334_1_1_2_2_1,1713.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_22334_1_1_2_2_4_1,860.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_22334_1_1_2_2_4_2,263.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_22334_1_1_2_2_6,587.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_22334_1_1_2_2_7_1,1182.00,3,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_22334_1_1_2_2_7_2,1493.25,4,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_22334_1_2_1,220.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
nGroup_22334_1_2_4,711.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_22334_1_2_6,716.50,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_2238_1,616.34,102,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_2238_2,1078.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_2238_3,219.60,5,2,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
nGroup_2238_5,239.00,5,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_2238_7,223.00,7,2,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
nGroup_2241_1,1250.11,38,11,no,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
nGroup_2241_11,978.80,5,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
nGroup_2241_1_2,1513.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_2241_1_3,944.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
nGroup_2241_2,1349.13,87,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_2241_4,1042.62,52,10,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no
nGroup_2241_7,665.00,2,2,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
nGroup_2241_9,1548.00,3,2,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
nGroup_22620_1,670.58,40,12,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
nGroup_22620_1_1,652.31,26,8,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no
nGroup_22620_1_1_2,402.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
nGroup_22620_2,636.00,90,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_24195_1,1387.11,9,4,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes
nGroup_24195_2,1125.87,98,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nGroup_24195_5,1864.96,24,8,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no
nGroup_24195_6,1152.72,74,11,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no
